text,label
.net angular developer | sql,Information Technology
.net consultant | sql excel,Information Technology
.net developer large financial client | sql excel java,Information Technology
.net developer lead | sql java,Information Technology
.net developer | python sql java,Information Technology
.net developer | sql excel,Information Technology
.net developer | sql excel java,Information Technology
/ /assistant accountant 1 position |,Finance
/ 1 corporate advisory | excel,Engineering
/ accounting headquarter sri petaling | sql excel,Finance
/ accounts | sql excel,Information Technology
/ admin jb kl |,Sales
/ admin sri damansara | excel,Sales
/ advertising promotions | excel,Marketing
/ advisor based in kota kinabalu |,Sales
/ application development | sql excel,Information Technology
/ automation engineer | python excel java,Engineering
/ automotive isuzu dealer | excel,Sales
/ beauty / hair / consumer goods |,Sales
/ business development | excel,Sales
/ business development | excel data analysis,Sales
/ captain taman mount austin outlet | excel,Engineering
/ chemicals samchem inorganic chemicals sdn bhd |,Sales
/ client advisor loewe |,Engineering
/ client advisor | excel,Engineering
/ controller mnc / ssc | excel,Finance
/ corp treasury | excel,Finance
/ credit risk johor |,Finance
/ customer service | excel,Sales
/ data entry part timer mandarin speaking nirvana 2 kl |,Administration & Customer Service
/ database administrator dba | sql,Information Technology
/ design engineer civil |,Engineering
/ digital | excel data analysis,Marketing
/ early childhood teacher | excel,Education
/ engineer based in bukit mertajam penang |,Sales
/ engineer chemical engineering based in ara damansara |,Sales
/ engineer m e high rise building construction |,Engineering
/ executives mandarin speaker | excel,Sales
/ executives syrup | excel,Sales
/ financial controller | excel,Finance
/ finished lubricants | excel,Sales
/ fixed asset accountant based in penang / kulim |,Finance
/ food industry | excel,Sales
/ freight forwarding klang |,Sales
/ full stack software developer | java react,Information Technology
/ full stack web developer | excel java react,Information Technology
/ gl/fixed asset/treasury | excel,Finance
/ group internal audit |,Finance
/ group reporting | excel,Finance
/ group treasury | excel,Finance
/ head it solutions |,Sales
/ home appliances id |,Marketing
/ horeca / food services | excel,Sales
/ insurance agent figures income potential trainee |,Sales
/ internal audit manufacturing |,Engineering
/ inventory control ground control |,Operations
/ maintenance mantanani island resort |,Engineering
/ management accounting costing |,Finance
